variety,pricing,location,sales
strawberry,3.396088185477276,mall,1
chocolate,2.82322794156873,park,0
strawberry,1.5851360000154462,mall,0
strawberry,3.437354513972435,park,0
chocolate,2.7441895420628213,beach,0
chocolate,2.77452502767094,beach,1
vanilla,2.2026722753035215,mall,0
strawberry,2.647026513469318,beach,0
vanilla,4.00150730805595,beach,0
chocolate,2.8531371430823023,mall,0
strawberry,3.495129906021332,beach,1
chocolate,2.4568453264741072,mall,1
chocolate,4.109819827952316,beach,0
chocolate,5.0745430431846925,park,0
strawberry,2.762149815672481,beach,0
strawberry,1.773285957782436,park,0
vanilla,2.039919528905392,beach,1
vanilla,2.2558297160263434,park,0
strawberry,2.5344615166402646,park,0
strawberry,5.365565425880662,mall,0
strawberry,3.6360126119886713,park,0
strawberry,4.069000061153856,mall,0
chocolate,4.21011122444747,mall,0
vanilla,5.685135971405437,beach,0
strawberry,3.3205054817119426,mall,0
chocolate,3.2547663102532427,mall,0
chocolate,6.189607891151752,mall,0
vanilla,3.068686159849189,mall,0
strawberry,4.562403951989675,mall,0
strawberry,1.746053862907492,park,1
chocolate,3.7758128399088267,beach,0
chocolate,3.1558561993081424,park,0
chocolate,2.6004680766630117,park,0
vanilla,3.2041750201185724,park,0
vanilla,1.870575998889884,beach,1
strawberry,1.9142559006383009,park,1
vanilla,2.1374155335084644,beach,1
vanilla,1.52012841067192,beach,1
chocolate,2.457352946299295,park,0
chocolate,2.0751651651080745,mall,0
chocolate,4.1330857593023875,mall,1
chocolate,3.7401276087749284,park,0
vanilla,3.1952769874700566,park,0
strawberry,3.8501321207153163,park,0
chocolate,2.2100522002271212,park,1
chocolate,1.857744322925294,beach,0
chocolate,4.844705399237383,mall,0
strawberry,3.6038721290063904,park,0
vanilla,4.29659999186996,beach,0
vanilla,2.4301604055326473,park,0
chocolate,4.598890618761628,beach,0
vanilla,2.9822398427205905,beach,1
vanilla,2.99264684552183,park,0
vanilla,3.5581172148142572,mall,1
strawberry,3.9275325964883288,park,0
chocolate,1.731323569518152,mall,0
vanilla,3.1597310268481933,park,0
vanilla,1.6616470657762095,beach,1
strawberry,2.4151408425193592,park,0
vanilla,2.543932467702521,mall,0
chocolate,2.7368207113012257,mall,1
strawberry,1.774345547937329,beach,0
chocolate,2.2457382728311672,park,1
vanilla,3.3683776959892473,park,0
vanilla,2.5896418998665025,park,0
strawberry,2.4775784308304027,beach,0
chocolate,3.3644757943231576,beach,0
strawberry,2.1109353393878685,mall,1
strawberry,3.6125049794628064,park,0
vanilla,3.2516142888988786,park,0
vanilla,1.9403708603293035,park,0
vanilla,2.0370710894628035,mall,0
chocolate,1.7219149823307869,beach,1
strawberry,2.5577933519851705,beach,0
chocolate,1.6551896062160463,mall,0
strawberry,3.52424702378494,mall,1
strawberry,3.6720455608991376,beach,0
vanilla,3.096061423800184,beach,1
chocolate,3.8913626959491103,beach,1
vanilla,1.87773864441818,mall,0
chocolate,1.9277180361696835,beach,0
vanilla,3.9023814755156288,beach,1
chocolate,2.424463326477786,park,0
vanilla,4.017803346503862,mall,0
strawberry,1.6373362277774164,mall,0
strawberry,3.8054675935382916,park,1
strawberry,0.3669102178355268,mall,0
chocolate,1.7319172885551204,beach,0
strawberry,1.1760695415397826,beach,0
chocolate,0.713309914154578,mall,0
chocolate,4.643423802070057,beach,0
strawberry,4.550286882183627,beach,1
strawberry,2.9741397648187915,beach,0
strawberry,2.872130143700308,beach,1
strawberry,1.6399552659312462,park,0
strawberry,1.8495997343026178,park,0
strawberry,2.279141247511199,beach,0
vanilla,3.9451318072265176,park,0
strawberry,4.754659658184508,beach,0
vanilla,4.997151251027283,mall,0
chocolate,4.38073907092015,beach,0
vanilla,3.3831891610274503,park,1
vanilla,2.0900980894941523,beach,1
strawberry,3.0168503989695874,mall,0
vanilla,4.482740917021068,beach,0
chocolate,2.400098652189001,beach,1
chocolate,3.01010046161277,mall,0
chocolate,2.0201285206185053,park,0
chocolate,4.430170725726728,beach,0
strawberry,0.828971685259452,beach,0
strawberry,4.256358709462747,park,0
chocolate,3.2829451644387797,beach,0
strawberry,4.1881582370777135,park,0
vanilla,3.9716794619583364,mall,1
vanilla,3.5522697746534533,mall,0
strawberry,4.160153978778186,beach,0
chocolate,2.5996098172286293,mall,0
strawberry,3.6077873587604623,mall,0
vanilla,3.167758378352996,beach,1
chocolate,1.9733799484670032,mall,0
chocolate,2.066047252461841,park,0
strawberry,3.207118281464061,beach,0
chocolate,2.5304431718440075,park,0
vanilla,3.271675604502549,mall,0
strawberry,2.698215246569079,beach,0
chocolate,3.8219424896455,beach,0
chocolate,2.8089699577470046,park,0
vanilla,3.746582823937316,mall,0
strawberry,1.7749832937954027,beach,0
vanilla,3.978047811567567,beach,0
chocolate,3.484549812868023,beach,0
strawberry,4.6249596989586115,beach,0
strawberry,3.3070862591433214,beach,0
chocolate,2.3764734173643993,beach,1
vanilla,3.560895202551278,beach,0
chocolate,1.8512639353991134,park,1
vanilla,3.8921156764766662,beach,0
chocolate,3.2428332334389007,beach,0
chocolate,2.4201871840825318,mall,0
chocolate,4.180199029919587,beach,0
strawberry,3.0300439044584553,mall,0
chocolate,0.28749376763600987,mall,1
chocolate,3.255019605763568,mall,0
vanilla,4.772583175367465,mall,1
chocolate,1.9266558809874093,park,0
vanilla,4.230921387602847,beach,0
strawberry,4.1907459570941406,park,1
chocolate,3.684474867544569,park,0
strawberry,2.6566368846240596,mall,0
chocolate,2.5577116484537954,mall,1
vanilla,2.4092769648852794,beach,1
chocolate,2.85314469960399,beach,1
chocolate,3.9080465515583875,beach,0
strawberry,3.2151829858492085,park,0
vanilla,3.1858504977306175,park,0
chocolate,5.043257804871299,mall,0
strawberry,1.9763342318770287,beach,0
chocolate,4.025292202043723,beach,0
chocolate,4.012676593726093,beach,0
vanilla,2.265695188707392,mall,0
chocolate,3.033583541882558,park,1
vanilla,5.592763814050368,mall,1
strawberry,2.5371293139992503,beach,0
vanilla,4.417416022892496,mall,0
vanilla,3.5250319349378323,mall,0
strawberry,2.1164250289712205,mall,1
strawberry,1.0631606987205091,park,1
vanilla,3.398246333263216,beach,1
vanilla,0.6286202438428501,mall,1
strawberry,2.2961833384228014,park,0
chocolate,1.6273191211472953,beach,0
strawberry,4.1335593960634185,park,0
vanilla,2.9859092619945895,beach,1
vanilla,2.832471986715909,mall,0
chocolate,1.9124969210657372,park,1
vanilla,3.7721669465958656,mall,1
strawberry,1.2277661308539742,beach,0
vanilla,1.0555773831205588,mall,0
chocolate,1.6813307702046405,mall,1
vanilla,2.1384868749411443,mall,0
strawberry,2.7137925731078414,mall,1
vanilla,1.951201771375211,mall,0
vanilla,2.611753307377408,park,0
strawberry,1.8437177220137537,beach,1
strawberry,3.3686063052692687,beach,0
strawberry,3.5930755631591196,mall,0
strawberry,5.1136494707474505,beach,0
strawberry,4.265057855563988,park,0
vanilla,3.462382312404794,beach,1
vanilla,2.744401262799752,park,0
chocolate,2.7075230049779844,beach,0
chocolate,3.476564703014989,beach,0
vanilla,1.0545649776121604,beach,1
strawberry,5.474138041743786,beach,1
strawberry,5.182981178359489,beach,0
strawberry,1.674172587175357,beach,0
strawberry,4.133504041948641,park,0
vanilla,2.4975938759455287,mall,0
vanilla,4.040344202258966,beach,0
strawberry,1.41448038469781,mall,0
chocolate,2.610546649336504,park,0
vanilla,2.547010403899989,mall,0
strawberry,3.547625477730273,park,0
strawberry,2.514591163223254,beach,1
chocolate,2.7144239770419563,beach,0
chocolate,3.4389244173491313,park,0
vanilla,4.4038857866745325,park,0
chocolate,2.6642706370716205,park,1
strawberry,4.207575768392099,park,0
vanilla,1.2688132174413302,mall,0
chocolate,3.9609747889944815,park,1
vanilla,3.649672334370715,park,1
chocolate,3.192957791347551,mall,0
vanilla,4.240831962144252,park,0
chocolate,4.564164783403614,park,0
strawberry,1.5370350161051745,beach,0
strawberry,1.2384714862015174,beach,0
strawberry,3.38227147902884,mall,0
chocolate,2.414163267255096,beach,1
chocolate,3.556451809246699,mall,1
vanilla,3.4520676889012702,park,1
strawberry,6.625543264206287,mall,0
strawberry,3.7824971007100863,mall,1
vanilla,1.9984948832409488,beach,1
chocolate,2.283378931643445,beach,0
vanilla,2.589019141042449,beach,1
vanilla,2.6019760950753765,park,0
chocolate,1.214785639429429,mall,0
chocolate,4.582755181449918,mall,0
chocolate,1.4799426667311895,beach,0
vanilla,2.4640335872957033,park,0
chocolate,4.322868948693661,beach,0
strawberry,2.819170059352683,beach,0
strawberry,1.3228566010628509,mall,1
strawberry,2.871989491942309,beach,0
vanilla,3.903107695404694,park,0
chocolate,3.479248967083361,mall,0
strawberry,3.6787974089874567,park,0
strawberry,4.3516403944481965,beach,0
vanilla,3.6505035886797543,beach,0
chocolate,2.718978675870662,park,0
vanilla,3.081464262503325,mall,1
vanilla,1.421117036950259,mall,0
strawberry,3.4524747429737146,park,0
chocolate,3.3131344339065465,beach,0
chocolate,1.794745133522324,park,1
vanilla,4.006735625814727,mall,0
strawberry,4.806663702643427,beach,0
strawberry,3.03461693829199,beach,0
chocolate,3.3685699567414025,mall,0
vanilla,4.483661714744048,beach,0
strawberry,4.389831248646363,beach,0
strawberry,2.132844599984267,park,0
vanilla,1.404447301337603,beach,1
strawberry,2.7749883967244866,beach,0
chocolate,2.663761680927778,mall,0
strawberry,2.1966297693629286,mall,0
chocolate,2.415724358583927,beach,0
strawberry,3.744848367818979,park,1
chocolate,2.563636322389316,mall,1
vanilla,3.4313523991840764,mall,0
vanilla,2.3200139587126376,beach,1
chocolate,3.658895373947298,park,0
chocolate,3.9087927780081,park,0
vanilla,2.159772633470653,mall,0
strawberry,4.993776317690366,park,0
chocolate,5.051770151647379,beach,0
vanilla,0.9939158702376747,park,0
chocolate,3.2291460018429263,beach,1
strawberry,2.154977084883867,mall,0
chocolate,4.777899946797918,beach,0
strawberry,3.7042854292564877,beach,0
vanilla,3.5989712289902474,park,0
strawberry,4.439980175952803,park,0
vanilla,4.004174386475353,mall,0
strawberry,2.608298858867088,park,0
chocolate,2.3589263717060867,park,0
strawberry,3.323735622848666,beach,1
vanilla,4.077128860993183,beach,0
vanilla,2.34015387495979,mall,1
vanilla,0.98156847939658,mall,0
vanilla,2.8944496576447554,beach,1
vanilla,4.537602239151758,mall,0
vanilla,2.8540797524354224,beach,1
vanilla,1.5943975422464658,beach,1
strawberry,3.667629346343709,mall,0
chocolate,1.7052090833258533,mall,1
vanilla,3.516585961625246,mall,0
strawberry,3.4321588933441136,park,1
strawberry,4.185288904495009,mall,0
vanilla,2.8837541221746874,beach,1
chocolate,2.211614250614831,park,0
vanilla,2.7473611716773116,park,1
vanilla,4.399906236803622,beach,1
chocolate,3.3882639885663783,mall,0
vanilla,3.300777845316073,beach,1
strawberry,4.33457151028188,beach,0
chocolate,4.110136858736788,mall,0
vanilla,4.182448686301809,park,0
strawberry,3.0307470730791066,park,0
chocolate,3.116870705529014,beach,0
vanilla,3.586736964197942,beach,0
chocolate,3.6820187768995476,mall,0
strawberry,2.509564588518761,mall,0
vanilla,3.6794931131642845,mall,0
chocolate,4.39185978371452,beach,0
